status_id,user_id,text,is_quote_status,retweet_count,favorite_count,favorited,retweeted,created_at
"1200163630026653696","775304840","AUSTRALIA’S #Defence force personnel should be trained to work on the ground backing up volunteers fighting major b… https://t.co/etwdwBxCbI",false,1,4,false,false,"Thu Nov 28 21:24:42 +0000 2019"
"1200154091479093248","144831082","@DVACommissioner @MendotaMarkH @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU… https://t.co/xHbwj5nMDK",false,0,0,false,false,"Thu Nov 28 20:46:47 +0000 2019"
"1200152810630733824","412221363","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 20:41:42 +0000 2019"
"1200151014512291841","1724072449","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 20:34:34 +0000 2019"
"1200149857270259712","856006538858713088","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 20:29:58 +0000 2019"
"1200148612744982531","851211143238602754","RT @DeptDefence: #YourADF has been working with Emergency Management Australia to assist with firefighting efforts in New South Wales, Quee…",false,8,0,false,false,"Thu Nov 28 20:25:01 +0000 2019"
"1200148140411633664","1147469414322753536","RT @DeptDefence: The new Guardian-class Patrol Boat RSIPV Gizo delivered by the #PacificMaritimeSecurity Program demonstrates #YourADF's co…",false,5,0,false,false,"Thu Nov 28 20:23:09 +0000 2019"
"1200139462191136768","2542290469","RT @DVACommissioner: #help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU @SuicideCallBack…",true,14,0,false,false,"Thu Nov 28 19:48:39 +0000 2019"
"1200138638719209472","1157097060874637313","#help spread the word 👍  @DVAAus @DeptDefence @LifelineAust @beyondblue @MensLine_Aus @KidsHelplineAU… https://t.co/XAdSgeFl9L",true,14,27,false,false,"Thu Nov 28 19:45:23 +0000 2019"
"1200119970018938881","1006835915249967104","RT @DeptDefence: #YourADF has been working with Emergency Management Australia to assist with firefighting efforts in New South Wales, Quee…",false,8,0,false,false,"Thu Nov 28 18:31:12 +0000 2019"
"1200041919813808135","1112021207149436934","RT @DeptDefence: .@Australian_Navy's HMAS Sirius conducts a dual replenishment at sea with Malaysian ships KD Lekiu and KD Kelantan during…",false,11,0,false,false,"Thu Nov 28 13:21:04 +0000 2019"
"1200035914807775232","150750867","RT @sonoftaiwan: @marcorubio @nytimes This proves that the Chinese are lying to the Allies, always.  #tiktok #Chinesespy #gladysliu #ASIO #…",false,3,0,false,false,"Thu Nov 28 12:57:12 +0000 2019"
"1200032170242297856","741093560032759808","RT @DeptDefence: Missed out on the #TattooInSydney 🥁? Or want to relive all the action 🕺? Catch #YourADF performing in the Royal @Edinburgh…",false,4,0,false,false,"Thu Nov 28 12:42:19 +0000 2019"
"1200003348818255872","967123451629666306","RT @DarrenChesterMP: .@AustralianArmy soldiers Private Emily Kapernick &amp; Private Abbey Walters greet local school children with a high five…",false,4,0,false,false,"Thu Nov 28 10:47:47 +0000 2019"
"1200002385537568768","967123451629666306","RT @DeptDefence: #YourADF has been working with Emergency Management Australia to assist with firefighting efforts in New South Wales, Quee…",false,8,0,false,false,"Thu Nov 28 10:43:58 +0000 2019"
"1199991975711301632","1945348315","RT @DeptDefence: Missed out on the #TattooInSydney 🥁? Or want to relive all the action 🕺? Catch #YourADF performing in the Royal @Edinburgh…",false,4,0,false,false,"Thu Nov 28 10:02:36 +0000 2019"
"1199991500974637057","3186423806","@NZDefenceForce @DeptDefence @USArmy @BritishArmy Topic of 'suicide' came up today! Don't do it eez like 24/7 bullc… https://t.co/osTV06hs8X",false,0,0,false,false,"Thu Nov 28 10:00:43 +0000 2019"
"1199989713467138049","17456542","RT @DeptDefence: Missed out on the #TattooInSydney 🥁? Or want to relive all the action 🕺? Catch #YourADF performing in the Royal @Edinburgh…",false,4,0,false,false,"Thu Nov 28 09:53:37 +0000 2019"
"1199984929418989569","21761603","RT @DeptDefence: Missed out on the #TattooInSydney 🥁? Or want to relive all the action 🕺? Catch #YourADF performing in the Royal @Edinburgh…",false,4,0,false,false,"Thu Nov 28 09:34:36 +0000 2019"
